id,name,address,postalcode,lat,lng
122,CCMW Tampines Street 21,Blk 201C Tampines Street 21 #01-01 S(523201),Singapore (523201),1.352888435,103.9531061
123,CCMW Tampines Street 41,Blk 406 Tampines Street 41 #01-07 S(520406),Singapore (520406),1.358495964,103.9460072
124,CCMW Tampines Street 81,Blk 820 Tampines Street 81 #01-501 S(520820),Singapore (520820),1.34832365,103.9363224
125,NTUC Foodfare,Blk 273C Punggol Place #01-882 S(823273),Singapore (823273),1.402271,103.90
126,NTUC Foodfare Anchorvale,Blk 308 Anchorvale Road #01-07 S(540308),Singapore (540308),1.389539,103.886398
127,NTUC Foodfare Pasir Ris,527C Pasir Ris Street 51 S(513527),Singapore (513527),1.369424,103.947764
128,NTUC Foodfare Upper Serangoon,476D Upper Serangoon View #02-05 S(537476)),Singapore (37476)),1.377633,103.903619
129,Koufu Foodcourt,Blk 118 Rivervale Drive #02-15/16 S(540118),Singapore (540118),1.385594,103.901983
130,Koufu Foodcourt,Blk 263 Compassvale Street #01-09 S(540263),Singapore (540263),1.395267,103.895957
131,Chomp Chomp Food Centre,20 Kensington Park Road S(557269),Singapore (557269),1.364229,103.8666
132,Hawker Centre @ Our Tampines Hub,902 Tampines Avenue 4 S(520902),Singapore (520902),1.351286,103.939243
133,Pasir Ris Central Hawker Centre,110 Pasir Ris Central S(519641),Singapore (519641),1.373578,103.951472
134,Serangoon Garden Market,49A Serangoon Garden Way S(555945),Singapore (555945),1.363381,103.866835
135,Bedok Reservoir MRT Station (DT30),371 Bedok North Avenue 3 S(469724),Singapore (469724),1.333019,103.933951
136,Eunos MRT Station,30 Eunos Crescent S(409423),Singapore (409423),1.3197,103.902894
137,Kaki Bukit MRT Station (DT28),30 Kaki Bukit Avenue 1 S(415804),Singapore (415804),1.334927,103.909016
138,Kembangan MRT Station,55 Sims Avenue East S(416551),Singapore (416551),1.320959,103.912676
139,Pasir Ris MRT Station,10 Pasir Ris Central S(519634),Singapore (519634),1.373114,103.949341
140,Punggol MRT Station-NE17,10 Punggol Central S(828868),Singapore (828868),1.398153,103.913025
141,Tampines East MRT Station (DT33),20 Tampines Avenue 7 S(529623),Singapore (529623),1.356308,103.954651
142,Tampines MRT Station (EW2),20 Tampines Central S(529538),Singapore (529538),1.353554,103.944945
143,Tampines MRT Station (DT32),20 Tampines Central S(529538),Singapore (529538),1.353554,103.944945
144,Tampines West MRT Station (DT31),2 Tampines Avenue 4 S(529683),Singapore (529683),1.345626,103.938218
145,Tanah Merah MRT Station,920 New Upper Changi Road (467356),Singapore (467356),1.3272,103.946395
146,Al - Istighfar Mosque,2 Pasir Ris Walk S(518239),Singapore (518239),1.371115,103.964096
